  time [s] theta [rad]  thetadot [rad/s]    k_energy    p_energy   total_energy
   3.53000     0.04019           1.63709     1.34004     0.00792        1.34796
   3.54000     0.05652           1.63315     1.33359     0.01567        1.34926
   3.55000     0.07280           1.62761     1.32455     0.02598        1.35053
   3.56000     0.08900           1.62046     1.31295     0.03883        1.35178
   3.57000     0.10512           1.61173     1.29884     0.05415        1.35299
   3.58000     0.12113           1.60142     1.28228     0.07189        1.35416
   3.59000     0.13703           1.58954     1.26332     0.09196        1.35527
   3.60000     0.15279           1.57610     1.24204     0.11428        1.35632
   3.61000     0.16840           1.56111     1.21853     0.13877        1.35730
   3.62000     0.18385           1.54459     1.19287     0.16532        1.35820
   3.63000     0.19911           1.52655     1.16518     0.19382        1.35900
   3.64000     0.21418           1.50702     1.13555     0.22415        1.35971
   3.65000     0.22904           1.48601     1.10411     0.25620        1.36031
   3.66000     0.24368           1.46354     1.07097     0.28982        1.36079
   3.67000     0.25807           1.43963     1.03627     0.32488        1.36115
   3.68000     0.27222           1.41432     1.00015     0.36123        1.36138
   3.69000     0.28609           1.38761     0.96273     0.39874        1.36147
   3.70000     0.29969           1.35955     0.92418     0.43725        1.36143
   3.71000     0.31299           1.33015     0.88464     0.47660        1.36124
   3.72000     0.32599           1.29944     0.84427     0.51664        1.36091
   3.73000     0.33866           1.26746     0.80323     0.55720        1.36043
   3.74000     0.35100           1.23424     0.76167     0.59813        1.35980
   3.75000     0.36300           1.19981     0.71977     0.63926        1.35903
   3.76000     0.37464           1.16420     0.67768     0.68044        1.35811
   3.77000     0.38592           1.12744     0.63557     0.72149        1.35705
   3.78000     0.39681           1.08959     0.59360     0.76226        1.35586
   3.79000     0.40732           1.05066     0.55194     0.80259        1.35454
   3.80000     0.41743           1.01070     0.51076     0.84233        1.35309
   3.81000     0.42712           0.96975     0.47021     0.88132        1.35153
   3.82000     0.43640           0.92785     0.43045     0.91941        1.34986
   3.83000     0.44525           0.88504     0.39165     0.95646        1.34810
   3.84000     0.45367           0.84136     0.35394     0.99232        1.34626
   3.85000     0.46163           0.79686     0.31749     1.02686        1.34435
   3.86000     0.46915           0.75157     0.28243     1.05994        1.34237
   3.87000     0.47621           0.70555     0.24890     1.09145        1.34035
   3.88000     0.48279           0.65883     0.21703     1.12127        1.33830
   3.89000     0.48891           0.61147     0.18695     1.14928        1.33623
   3.90000     0.49454           0.56351     0.15877     1.17538        1.33415
   3.91000     0.49969           0.51499     0.13261     1.19948        1.33208
   3.92000     0.50435           0.46597     0.10856     1.22147        1.33004
   3.93000     0.50852           0.41649     0.08673     1.24129        1.32802
   3.94000     0.51218           0.36661     0.06720     1.25886        1.32606
   3.95000     0.51535           0.31636     0.05004     1.27411        1.32415
   3.96000     0.51801           0.26581     0.03533     1.28699        1.32232
   3.97000     0.52016           0.21499     0.02311     1.29745        1.32057
   3.98000     0.52180           0.16396     0.01344     1.30546        1.31890
   3.99000     0.52292           0.11278     0.00636     1.31098        1.31734
   4.00000     0.52354           0.06148     0.00189     1.31399        1.31588
   4.01000     0.52364           0.01012     0.00005     1.31449        1.31454
   4.02000     0.52323          -0.04125     0.00085     1.31247        1.31332
   4.03000     0.52230          -0.09258     0.00429     1.30793        1.31222
   4.04000     0.52086          -0.14382     0.01034     1.30090        1.31124
   4.05000     0.51891          -0.19491     0.01900     1.29140        1.31040
   4.06000     0.51646          -0.24582     0.03021     1.27947        1.30968
   4.07000     0.51349          -0.29648     0.04395     1.26515        1.30910
   4.08000     0.51002          -0.34686     0.06016     1.24848        1.30864
   4.09000     0.50605          -0.39689     0.07876     1.22954        1.30830
   4.10000     0.50159          -0.44653     0.09970     1.20839        1.30809
   4.11000     0.49663          -0.49574     0.12288     1.18512        1.30800
   4.12000     0.49119          -0.54446     0.14822     1.15980        1.30801
   4.13000     0.48526          -0.59265     0.17561     1.13253        1.30814
   4.14000     0.47886          -0.64025     0.20496     1.10341        1.30837
   4.15000     0.47198          -0.68723     0.23614     1.07255        1.30869
   4.16000     0.46465          -0.73353     0.26903     1.04007        1.30910
   4.17000     0.45686          -0.77911     0.30351     1.00609        1.30959
   4.18000     0.44862          -0.82393     0.33943     0.97073        1.31016
   4.19000     0.43994          -0.86794     0.37666     0.93413        1.31079
   4.20000     0.43083          -0.91109     0.41505     0.89644        1.31148
   4.21000     0.42130          -0.95336     0.45445     0.85779        1.31223
   4.22000     0.41135          -0.99469     0.49470     0.81833        1.31303
   4.23000     0.40100          -1.03504     0.53566     0.77821        1.31386
   4.24000     0.39025          -1.07438     0.57715     0.73759        1.31474
   4.25000     0.37913          -1.11266     0.61901     0.69663        1.31564
   4.26000     0.36763          -1.14986     0.66108     0.65548        1.31657
   4.27000     0.35577          -1.18592     0.70320     0.61432        1.31752
   4.28000     0.34356          -1.22082     0.74520     0.57329        1.31849
   4.29000     0.33102          -1.25452     0.78692     0.53256        1.31948
   4.30000     0.31815          -1.28700     0.82818     0.49230        1.32048
   4.31000     0.30496          -1.31821     0.86883     0.45266        1.32149
